"102,916 ","103,216 ","103,516 ","103,816 ","104,116 ","104,416 ","104,716 ","105,016 ","105,316 ","105,616 ","105,916 ","106,216 ","106,516 ","106,816 ","107,116 ","107,416 ","107,716 ","108,016 ","108,316 ","108,616 ","108,916 ","109,216 ","109,516 ","109,816 ","110,116 ","110,416 ","110,716 ","111,016 ","111,316 ","111,616 ","111,916 ","112,216 ","112,516 ","112,816 ","113,116 ","113,416 ","113,716 ","114,016 ","114,316 ","114,616 ","114,916 ","115,216 ","115,516 "
"106,552 ","106,852 ","107,152 ","107,452 ","107,752 ","108,052 ","108,352 ","108,652 ","108,952 ","109,252 ","109,552 ","109,852 ","110,152 ","110,452 ","110,752 ","111,052 ","111,352 ","111,652 ","111,952 ","112,252 ","112,552 ","112,852 ","113,152 ","113,452 ","113,752 ","114,052 ","114,352 ","114,652 ","114,952 ","115,252 ","115,552 ","115,852 ","116,152 ","116,452 ","116,752 ","117,052 ","117,352 ","117,652 ","117,952 ","118,252 ","118,552 ","118,852 ","119,152 "
"110,373 ","110,673 ","110,973 ","111,273 ","111,573 ","111,873 ","112,173 ","112,473 ","112,773 ","113,073 ","113,373 ","113,673 ","113,973 ","114,273 ","114,573 ","114,873 ","115,173 ","115,473 ","115,773 ","116,073 ","116,373 ","116,673 ","116,973 ","117,273 ","117,573 ","117,873 ","118,173 ","118,473 ","118,773 ","119,073 ","119,373 ","119,673 ","119,973 ","120,273 ","120,573 ","120,873 ","121,173 ","121,473 ","121,773 ","122,073 ","122,373 ","122,673 ","122,973 "
"114,389 ","114,689 ","114,989 ","115,289 ","115,589 ","115,889 ","116,189 ","116,489 ","116,789 ","117,089 ","117,389 ","117,689 ","117,989 ","118,289 ","118,589 ","118,889 ","119,189 ","119,489 ","119,789 ","120,089 ","120,389 ","120,689 ","120,989 ","121,289 ","121,589 ","121,889 ","122,189 ","122,489 ","122,789 ","123,089 ","123,389 ","123,689 ","123,989 ","124,289 ","124,589 ","124,889 ","125,189 ","125,489 ","125,789 ","126,089 ","126,389 ","126,689 ","126,989 "
"118,610 ","118,910 ","119,210 ","119,510 ","119,810 ","120,110 ","120,410 ","120,710 ","121,010 ","121,310 ","121,610 ","121,910 ","122,210 ","122,510 ","122,810 ","123,110 ","123,410 ","123,710 ","124,010 ","124,310 ","124,610 ","124,910 ","125,210 ","125,510 ","125,810 ","126,110 ","126,410 ","126,710 ","127,010 ","127,310 ","127,610 ","127,910 ","128,210 ","128,510 ","128,810 ","129,110 ","129,410 ","129,710 ","130,010 ","130,310 ","130,610 ","130,910 ","131,210 "
"123,047 ","123,347 ","123,647 ","123,947 ","124,247 ","124,547 ","124,847 ","125,147 ","125,447 ","125,747 ","126,047 ","126,347 ","126,647 ","126,947 ","127,247 ","127,547 ","127,847 ","128,147 ","128,447 ","128,747 ","129,047 ","129,347 ","129,647 ","129,947 ","130,247 ","130,547 ","130,847 ","131,147 ","131,447 ","131,747 ","132,047 ","132,347 ","132,647 ","132,947 ","133,247 ","133,547 ","133,847 ","134,147 ","134,447 ","134,747 ","135,047 ","135,347 ","135,647 "
"127,711 ","128,011 ","128,311 ","128,611 ","128,911 ","129,211 ","129,511 ","129,811 ","130,111 ","130,411 ","130,711 ","131,011 ","131,311 ","131,611 ","131,911 ","132,211 ","132,511 ","132,811 ","133,111 ","133,411 ","133,711 ","134,011 ","134,311 ","134,611 ","134,911 ","135,211 ","135,511 ","135,811 ","136,111 ","136,411 ","136,711 ","137,011 ","137,311 ","137,611 ","137,911 ","138,211 ","138,511 ","138,811 ","139,111 ","139,411 ","139,711 ","140,011 ","140,311 "
"132,612 ","132,912 ","133,212 ","133,512 ","133,812 ","134,112 ","134,412 ","134,712 ","135,012 ","135,312 ","135,612 ","135,912 ","136,212 ","136,512 ","136,812 ","137,112 ","137,412 ","137,712 ","138,012 ","138,312 ","138,612 ","138,912 ","139,212 ","139,512 ","139,812 ","140,112 ","140,412 ","140,712 ","141,012 ","141,312 ","141,612 ","141,912 ","142,212 ","142,512 ","142,812 ","143,112 ","143,412 ","143,712 ","144,012 ","144,312 ","144,612 ","144,912 ","145,212 "
"137,765 ","138,065 ","138,365 ","138,665 ","138,965 ","139,265 ","139,565 ","139,865 ","140,165 ","140,465 ","140,765 ","141,065 ","141,365 ","141,665 ","141,965 ","142,265 ","142,565 ","142,865 ","143,165 ","143,465 ","143,765 ","144,065 ","144,365 ","144,665 ","144,965 ","145,265 ","145,565 ","145,865 ","146,165 ","146,465 ","146,765 ","147,065 ","147,365 ","147,665 ","147,965 ","148,265 ","148,565 ","148,865 ","149,165 ","149,465 ","149,765 ","150,065 ","150,365 "
"143,181 ","143,481 ","143,781 ","144,081 ","144,381 ","144,681 ","144,981 ","145,281 ","145,581 ","145,881 ","146,181 ","146,481 ","146,781 ","147,081 ","147,381 ","147,681 ","147,981 ","148,281 ","148,581 ","148,881 ","149,181 ","149,481 ","149,781 ","150,081 ","150,381 ","150,681 ","150,981 ","151,281 ","151,581 ","151,881 ","152,181 ","152,481 ","152,781 ","153,081 ","153,381 ","153,681 ","153,981 ","154,281 ","154,581 ","154,881 ","155,181 ","155,481 ","155,781 "
"148,874 ","149,174 ","149,474 ","149,774 ","150,074 ","150,374 ","150,674 ","150,974 ","151,274 ","151,574 ","151,874 ","152,174 ","152,474 ","152,774 ","153,074 ","153,374 ","153,674 ","153,974 ","154,274 ","154,574 ","154,874 ","155,174 ","155,474 ","155,774 ","156,074 ","156,374 ","156,674 ","156,974 ","157,274 ","157,574 ","157,874 ","158,174 ","158,474 ","158,774 ","159,074 ","159,374 ","159,674 ","159,974 ","160,274 ","160,574 ","160,874 ","161,174 ","161,474 "
"154,859 ","155,159 ","155,459 ","155,759 ","156,059 ","156,359 ","156,659 ","156,959 ","157,259 ","157,559 ","157,859 ","158,159 ","158,459 ","158,759 ","159,059 ","159,359 ","159,659 ","159,959 ","160,259 ","160,559 ","160,859 ","161,159 ","161,459 ","161,759 ","162,059 ","162,359 ","162,659 ","162,959 ","163,259 ","163,559 ","163,859 ","164,159 ","164,459 ","164,759 ","165,059 ","165,359 ","165,659 ","165,959 ","166,259 ","166,559 ","166,859 ","167,159 ","167,459 "
"161,151 ","161,451 ","161,751 ","162,051 ","162,351 ","162,651 ","162,951 ","163,251 ","163,551 ","163,851 ","164,151 ","164,451 ","164,751 ","165,051 ","165,351 ","165,651 ","165,951 ","166,251 ","166,551 ","166,851 ","167,151 ","167,451 ","167,751 ","168,051 ","168,351 ","168,651 ","168,951 ","169,251 ","169,551 ","169,851 ","170,151 ","170,451 ","170,751 ","171,051 ","171,351 ","171,651 ","171,951 ","172,251 ","172,551 ","172,851 ","173,151 ","173,451 ","173,751 "
"167,765 ","168,065 ","168,365 ","168,665 ","168,965 ","169,265 ","169,565 ","169,865 ","170,165 ","170,465 ","170,765 ","171,065 ","171,365 ","171,665 ","171,965 ","172,265 ","172,565 ","172,865 ","173,165 ","173,465 ","173,765 ","174,065 ","174,365 ","174,665 ","174,965 ","175,265 ","175,565 ","175,865 ","176,165 ","176,465 ","176,765 ","177,065 ","177,365 ","177,665 ","177,965 ","178,265 ","178,565 ","178,865 ","179,165 ","179,465 ","179,765 ","180,065 ","180,365 "
"174,718 ","175,018 ","175,318 ","175,618 ","175,918 ","176,218 ","176,518 ","176,818 ","177,118 ","177,418 ","177,718 ","178,018 ","178,318 ","178,618 ","178,918 ","179,218 ","179,518 ","179,818 ","180,118 ","180,418 ","180,718 ","181,018 ","181,318 ","181,618 ","181,918 ","182,218 ","182,518 ","182,818 ","183,118 ","183,418 ","183,718 ","184,018 ","184,318 ","184,618 ","184,918 ","185,218 ","185,518 ","185,818 ","186,118 ","186,418 ","186,718 ","187,018 ","187,318 "
"182,028 ","182,328 ","182,628 ","182,928 ","183,228 ","183,528 ","183,828 ","184,128 ","184,428 ","184,728 ","185,028 ","185,328 ","185,628 ","185,928 ","186,228 ","186,528 ","186,828 ","187,128 ","187,428 ","187,728 ","188,028 ","188,328 ","188,628 ","188,928 ","189,228 ","189,528 ","189,828 ","190,128 ","190,428 ","190,728 ","191,028 ","191,328 ","191,628 ","191,928 ","192,228 ","192,528 ","192,828 ","193,128 ","193,428 ","193,728 ","194,028 ","194,328 ","194,628 "
"189,713 ","190,013 ","190,313 ","190,613 ","190,913 ","191,213 ","191,513 ","191,813 ","192,113 ","192,413 ","192,713 ","193,013 ","193,313 ","193,613 ","193,913 ","194,213 ","194,513 ","194,813 ","195,113 ","195,413 ","195,713 ","196,013 ","196,313 ","196,613 ","196,913 ","197,213 ","197,513 ","197,813 ","198,113 ","198,413 ","198,713 ","199,013 ","199,313 ","199,613 ","199,913 ","200,213 ","200,513 ","200,813 ","201,113 ","201,413 ","201,713 ","202,013 ","202,313 "
